run_name,闭合状态,Excel位置,本地metrics路径,建议处理,缺失解释分类,替代run线索
autodl_starcoder2_7b_e1__vul_line__qlora,双向闭合,应跑缺口明细!R127; 全部结果指标!R28; line指标!R11,C:\Users\xudam\SynologyDrive\工作\博士\论文\代码\区块链漏洞检测\results\remote_mirror\C_autodl_rtxpro6000x8\experiments\runs\autodl_starcoder2_7b_e1__vul_line__qlora\vul_line__finetune\metrics.json,可作为闭合结果,,
autodl_starcoder2_7b_e1__vul_type__direct,双向闭合,应跑缺口明细!R122; 全部结果指标!R29; type指标!R9,C:\Users\xudam\SynologyDrive\工作\博士\论文\代码\区块链漏洞检测\results\remote_mirror\C_autodl_rtxpro6000x8\experiments\runs\autodl_starcoder2_7b_e1__vul_type__direct\vul_type__direct\metrics.json,可作为闭合结果,,
autodl_starcoder2_7b_e1__vul_type__prompt,双向闭合,应跑缺口明细!R123; 全部结果指标!R30; type指标!R10,C:\Users\xudam\SynologyDrive\工作\博士\论文\代码\区块链漏洞检测\results\remote_mirror\C_autodl_rtxpro6000x8\experiments\runs\autodl_starcoder2_7b_e1__vul_type__prompt\vul_type__prompt\metrics.json,可作为闭合结果,,
autodl_starcoder2_7b_e1__vul_type__qlora,双向闭合,应跑缺口明细!R124; 全部结果指标!R31; type指标!R11,C:\Users\xudam\SynologyDrive\工作\博士\论文\代码\区块链漏洞检测\results\remote_mirror\C_autodl_rtxpro6000x8\experiments\runs\autodl_starcoder2_7b_e1__vul_type__qlora\vul_type__finetune\metrics.json,可作为闭合结果,,
autodl_wizardcoder_python_7b_e1__has_vul__direct,Excel有-本地镜像缺失,全部结果指标!R298; 全部结果指标!R299,,历史记录/镜像缺失；若正文引用，需重新定位或补拉结果,表内历史/计划记录，本地未找到同名metrics；不等于训练失败,
autodl_wizardcoder_python_7b_e1_gpu1_vul_line_prompt_qlora__vul_line__qlora,双向闭合,应跑缺口明细!R223; 全部结果指标!R305; 全部结果指标!R306; line指标!R96; line指标!R97,C:\Users\xudam\SynologyDrive\工作\博士\论文\代码\区块链漏洞检测\results\remote_mirror\C_autodl_rtxpro6000x8\experiments\runs\autodl_wizardcoder_python_7b_e1_gpu1_vul_line_prompt_qlora__vul_line__qlora\vul_line__finetune\metrics.json,可作为闭合结果,,
formal_balanced721_qwen25coder15b_e1__has_vul__direct,双向闭合,应跑缺口明细!R26; 全部结果指标!R235; has指标!R74,C:\Users\xudam\SynologyDrive\工作\博士\论文\代码\区块链漏洞检测\results\remote_mirror\A_8.130.211.198\experiments\runs\formal_balanced721_qwen25coder15b_e1__has_vul__direct\Qwen_Qwen2.5-Coder-1.5B-Instruct\has_vul__direct\metrics.json,可作为闭合结果,,
formal_balanced721_qwen25coder15b_e1__has_vul__full,双向闭合,应跑缺口明细!R28; 全部结果指标!R236; has指标!R75,C:\Users\xudam\SynologyDrive\工作\博士\论文\代码\区块链漏洞检测\results\remote_mirror\A_8.130.211.198\experiments\runs\formal_balanced721_qwen25coder15b_e1__has_vul__full\Qwen_Qwen2.5-Coder-1.5B-Instruct\has_vul__finetune\metrics.json,可作为闭合结果,,
formal_balanced721_qwen25coder15b_e1__has_vul__prompt,双向闭合,应跑缺口明细!R27; 全部结果指标!R237; has指标!R76,C:\Users\xudam\SynologyDrive\工作\博士\论文\代码\区块链漏洞检测\results\remote_mirror\A_8.130.211.198\experiments\runs\formal_balanced721_qwen25coder15b_e1__has_vul__prompt\Qwen_Qwen2.5-Coder-1.5B-Instruct\has_vul__prompt\metrics.json,可作为闭合结果,,
formal_balanced721_qwen25coder15b_e1__has_vul__qlora,双向闭合,应跑缺口明细!R29; 全部结果指标!R238; has指标!R77,C:\Users\xudam\SynologyDrive\工作\博士\论文\代码\区块链漏洞检测\results\remote_mirror\A_8.130.211.198\experiments\runs\formal_balanced721_qwen25coder15b_e1__has_vul__qlora\Qwen_Qwen2.5-Coder-1.5B-Instruct\has_vul__finetune\metrics.json,可作为闭合结果,,
formal_balanced721_qwen25coder15b_e1__vul_line__direct,双向闭合,应跑缺口明细!R34; 全部结果指标!R239; line指标!R77,C:\Users\xudam\SynologyDrive\工作\博士\论文\代码\区块链漏洞检测\results\remote_mirror\A_8.130.211.198\experiments\runs\formal_balanced721_qwen25coder15b_e1__vul_line__direct\Qwen_Qwen2.5-Coder-1.5B-Instruct\vul_line__direct\metrics.json,可作为闭合结果,,
formal_balanced721_qwen25coder15b_e1__vul_line__full,双向闭合,应跑缺口明细!R36; 全部结果指标!R240; line指标!R78,C:\Users\xudam\SynologyDrive\工作\博士\论文\代码\区块链漏洞检测\results\remote_mirror\A_8.130.211.198\experiments\runs\formal_balanced721_qwen25coder15b_e1__vul_line__full\Qwen_Qwen2.5-Coder-1.5B-Instruct\vul_line__finetune\metrics.json,可作为闭合结果,,
formal_balanced721_qwen25coder15b_e1__vul_line__prompt,双向闭合,应跑缺口明细!R35; 全部结果指标!R241; line指标!R79,C:\Users\xudam\SynologyDrive\工作\博士\论文\代码\区块链漏洞检测\results\remote_mirror\A_8.130.211.198\experiments\runs\formal_balanced721_qwen25coder15b_e1__vul_line__prompt\Qwen_Qwen2.5-Coder-1.5B-Instruct\vul_line__prompt\metrics.json,可作为闭合结果,,
formal_balanced721_qwen25coder15b_e1__vul_line__qlora,双向闭合,应跑缺口明细!R37; 全部结果指标!R242; line指标!R80,C:\Users\xudam\SynologyDrive\工作\博士\论文\代码\区块链漏洞检测\results\remote_mirror\A_8.130.211.198\experiments\runs\formal_balanced721_qwen25coder15b_e1__vul_line__qlora\Qwen_Qwen2.5-Coder-1.5B-Instruct\vul_line__finetune\metrics.json,可作为闭合结果,,
formal_balanced721_qwen25coder15b_e1__vul_type__direct,双向闭合,应跑缺口明细!R30; 全部结果指标!R244; type指标!R75,C:\Users\xudam\SynologyDrive\工作\博士\论文\代码\区块链漏洞检测\results\remote_mirror\A_8.130.211.198\experiments\runs\formal_balanced721_qwen25coder15b_e1__vul_type__direct\Qwen_Qwen2.5-Coder-1.5B-Instruct\vul_type__direct\metrics.json,可作为闭合结果,,
formal_balanced721_qwen25coder15b_e1__vul_type__full,双向闭合,应跑缺口明细!R32; 全部结果指标!R245; type指标!R76,C:\Users\xudam\SynologyDrive\工作\博士\论文\代码\区块链漏洞检测\results\remote_mirror\A_8.130.211.198\experiments\runs\formal_balanced721_qwen25coder15b_e1__vul_type__full\Qwen_Qwen2.5-Coder-1.5B-Instruct\vul_type__finetune\metrics.json,可作为闭合结果,,
formal_balanced721_qwen25coder15b_e1__vul_type__prompt,双向闭合,应跑缺口明细!R31; 全部结果指标!R246; type指标!R77,C:\Users\xudam\SynologyDrive\工作\博士\论文\代码\区块链漏洞检测\results\remote_mirror\A_8.130.211.198\experiments\runs\formal_balanced721_qwen25coder15b_e1__vul_type__prompt\Qwen_Qwen2.5-Coder-1.5B-Instruct\vul_type__prompt\metrics.json,可作为闭合结果,,
formal_balanced721_qwen25coder15b_e1__vul_type__qlora,双向闭合,应跑缺口明细!R33; 全部结果指标!R247; type指标!R78,C:\Users\xudam\SynologyDrive\工作\博士\论文\代码\区块链漏洞检测\results\remote_mirror\A_8.130.211.198\experiments\runs\formal_balanced721_qwen25coder15b_e1__vul_type__qlora\Qwen_Qwen2.5-Coder-1.5B-Instruct\vul_type__finetune\metrics.json,可作为闭合结果,,
large_hasv_qlora_qwen05_inst,双向闭合,全部结果指标!R163; has指标!R58,C:\Users\xudam\SynologyDrive\工作\博士\论文\代码\区块链漏洞检测\results\remote_mirror\A_8.130.211.198\experiments\runs\large_hasv_qlora_qwen05_inst\Qwen_Qwen2.5-Coder-0.5B-Instruct\has_vul__finetune\metrics.json,可作为闭合结果,,
large_vtype_full_qwen05_inst_fp32,双向闭合,全部结果指标!R216; type指标!R56,C:\Users\xudam\SynologyDrive\工作\博士\论文\代码\区块链漏洞检测\results\remote_mirror\A_8.130.211.198\experiments\runs\large_vtype_full_qwen05_inst_fp32\Qwen_Qwen2.5-Coder-0.5B-Instruct\vul_type__finetune\metrics.json,可作为闭合结果,,
machine_a_codegemma2b_e1__has_vul__direct,双向闭合,应跑缺口明细!R137; 全部结果指标!R93; has指标!R31,C:\Users\xudam\SynologyDrive\工作\博士\论文\代码\区块链漏洞检测\results\remote_mirror\A_8.130.211.198\experiments\runs\machine_a_codegemma2b_e1__has_vul__direct\google_codegemma-2b\has_vul__direct\metrics.json,可作为闭合结果,,
machine_a_codegemma2b_e1__has_vul__full,Excel有-本地镜像缺失,全部结果指标!R96,,历史记录/镜像缺失；若正文引用，需重新定位或补拉结果,有同模型/同任务/同方法替代run,autodl_codegemma_2b_e1_gpu4_retry__has_vul__full
machine_a_codegemma2b_e1__has_vul__prompt,双向闭合,应跑缺口明细!R138; 全部结果指标!R98; has指标!R34,C:\Users\xudam\SynologyDrive\工作\博士\论文\代码\区块链漏洞检测\results\remote_mirror\A_8.130.211.198\experiments\runs\machine_a_codegemma2b_e1__has_vul__prompt\google_codegemma-2b\has_vul__prompt\metrics.json,可作为闭合结果,,
machine_a_deepseekcoder13b_e1__has_vul__direct,双向闭合,应跑缺口明细!R77; 全部结果指标!R63; has指标!R21,C:\Users\xudam\SynologyDrive\工作\博士\论文\代码\区块链漏洞检测\results\remote_mirror\A_8.130.211.198\experiments\runs\machine_a_deepseekcoder13b_e1__has_vul__direct\deepseek-ai_deepseek-coder-1.3b-base\has_vul__direct\metrics.json,可作为闭合结果,,
machine_a_deepseekcoder13b_e1__has_vul__full,双向闭合,应跑缺口明细!R79; 全部结果指标!R64; has指标!R22,C:\Users\xudam\SynologyDrive\工作\博士\论文\代码\区块链漏洞检测\results\remote_mirror\A_8.130.211.198\experiments\runs\machine_a_deepseekcoder13b_e1__has_vul__full\deepseek-ai_deepseek-coder-1.3b-base\has_vul__finetune\metrics.json,可作为闭合结果,,
machine_a_deepseekcoder13b_e1__has_vul__prompt,双向闭合,应跑缺口明细!R78; 全部结果指标!R65; has指标!R23,C:\Users\xudam\SynologyDrive\工作\博士\论文\代码\区块链漏洞检测\results\remote_mirror\A_8.130.211.198\experiments\runs\machine_a_deepseekcoder13b_e1__has_vul__prompt\deepseek-ai_deepseek-coder-1.3b-base\has_vul__prompt\metrics.json,可作为闭合结果,,
machine_a_deepseekcoder13b_e1__has_vul__qlora,双向闭合,应跑缺口明细!R80; 全部结果指标!R66; has指标!R24,C:\Users\xudam\SynologyDrive\工作\博士\论文\代码\区块链漏洞检测\results\remote_mirror\A_8.130.211.198\experiments\runs\machine_a_deepseekcoder13b_e1__has_vul__qlora\deepseek-ai_deepseek-coder-1.3b-base\has_vul__finetune\metrics.json,可作为闭合结果,,
machine_a_deepseekcoder13b_e1__vul_line__direct,双向闭合,应跑缺口明细!R85; 全部结果指标!R67; line指标!R19,C:\Users\xudam\SynologyDrive\工作\博士\论文\代码\区块链漏洞检测\results\remote_mirror\A_8.130.211.198\experiments\runs\machine_a_deepseekcoder13b_e1__vul_line__direct\deepseek-ai_deepseek-coder-1.3b-base\vul_line__direct\metrics.json,可作为闭合结果,,
machine_a_deepseekcoder13b_e1__vul_line__full,双向闭合,应跑缺口明细!R87; 全部结果指标!R68; line指标!R20,C:\Users\xudam\SynologyDrive\工作\博士\论文\代码\区块链漏洞检测\results\remote_mirror\A_8.130.211.198\experiments\runs\machine_a_deepseekcoder13b_e1__vul_line__full\deepseek-ai_deepseek-coder-1.3b-base\vul_line__finetune\metrics.json,可作为闭合结果,,
machine_a_deepseekcoder13b_e1__vul_line__prompt,双向闭合,应跑缺口明细!R86; 全部结果指标!R69; line指标!R21,C:\Users\xudam\SynologyDrive\工作\博士\论文\代码\区块链漏洞检测\results\remote_mirror\A_8.130.211.198\experiments\runs\machine_a_deepseekcoder13b_e1__vul_line__prompt\deepseek-ai_deepseek-coder-1.3b-base\vul_line__prompt\metrics.json,可作为闭合结果,,
machine_a_deepseekcoder13b_e1__vul_line__qlora,双向闭合,应跑缺口明细!R88; 全部结果指标!R70; line指标!R22,C:\Users\xudam\SynologyDrive\工作\博士\论文\代码\区块链漏洞检测\results\remote_mirror\A_8.130.211.198\experiments\runs\machine_a_deepseekcoder13b_e1__vul_line__qlora\deepseek-ai_deepseek-coder-1.3b-base\vul_line__finetune\metrics.json,可作为闭合结果,,
machine_a_deepseekcoder13b_e1__vul_type__direct,双向闭合,应跑缺口明细!R81; 全部结果指标!R71; type指标!R21,C:\Users\xudam\SynologyDrive\工作\博士\论文\代码\区块链漏洞检测\results\remote_mirror\A_8.130.211.198\experiments\runs\machine_a_deepseekcoder13b_e1__vul_type__direct\deepseek-ai_deepseek-coder-1.3b-base\vul_type__direct\metrics.json,可作为闭合结果,,
machine_a_deepseekcoder13b_e1__vul_type__full,双向闭合,应跑缺口明细!R83; 全部结果指标!R72; type指标!R22,C:\Users\xudam\SynologyDrive\工作\博士\论文\代码\区块链漏洞检测\results\remote_mirror\A_8.130.211.198\experiments\runs\machine_a_deepseekcoder13b_e1__vul_type__full\deepseek-ai_deepseek-coder-1.3b-base\vul_type__finetune\metrics.json,可作为闭合结果,,
machine_a_deepseekcoder13b_e1__vul_type__prompt,双向闭合,应跑缺口明细!R82; 全部结果指标!R73; type指标!R23,C:\Users\xudam\SynologyDrive\工作\博士\论文\代码\区块链漏洞检测\results\remote_mirror\A_8.130.211.198\experiments\runs\machine_a_deepseekcoder13b_e1__vul_type__prompt\deepseek-ai_deepseek-coder-1.3b-base\vul_type__prompt\metrics.json,可作为闭合结果,,
machine_a_deepseekcoder13b_e1__vul_type__qlora,双向闭合,应跑缺口明细!R84; 全部结果指标!R74; type指标!R24,C:\Users\xudam\SynologyDrive\工作\博士\论文\代码\区块链漏洞检测\results\remote_mirror\A_8.130.211.198\experiments\runs\machine_a_deepseekcoder13b_e1__vul_type__qlora\deepseek-ai_deepseek-coder-1.3b-base\vul_type__finetune\metrics.json,可作为闭合结果,,
machine_a_qwen25coder3b_e1__has_vul__direct,双向闭合,应跑缺口明细!R38; 全部结果指标!R268; has指标!R84,C:\Users\xudam\SynologyDrive\工作\博士\论文\代码\区块链漏洞检测\results\remote_mirror\A_8.130.211.198\experiments\runs\machine_a_qwen25coder3b_e1__has_vul__direct\Qwen_Qwen2.5-Coder-3B-Instruct\has_vul__direct\metrics.json,可作为闭合结果,,
machine_a_qwen25coder3b_e1__has_vul__full,Excel有-本地镜像缺失,全部结果指标!R269,,历史记录/镜像缺失；若正文引用，需重新定位或补拉结果,有同模型/同任务/同方法替代run,machine_c_qwen25coder3b_full_e1__has_vul__full
machine_a_qwen25coder3b_e1__has_vul__prompt,双向闭合,应跑缺口明细!R39; 全部结果指标!R271; has指标!R86,C:\Users\xudam\SynologyDrive\工作\博士\论文\代码\区块链漏洞检测\results\remote_mirror\A_8.130.211.198\experiments\runs\machine_a_qwen25coder3b_e1__has_vul__prompt\Qwen_Qwen2.5-Coder-3B-Instruct\has_vul__prompt\metrics.json,可作为闭合结果,,
machine_a_qwen25coder3b_e1__has_vul__qlora,双向闭合,应跑缺口明细!R41; 全部结果指标!R272; has指标!R87,C:\Users\xudam\SynologyDrive\工作\博士\论文\代码\区块链漏洞检测\results\remote_mirror\A_8.130.211.198\experiments\runs\machine_a_qwen25coder3b_e1__has_vul__qlora\Qwen_Qwen2.5-Coder-3B-Instruct\has_vul__finetune\metrics.json,可作为闭合结果,,
machine_a_qwen25coder3b_e1__vul_line__direct,双向闭合,应跑缺口明细!R46; 全部结果指标!R273; line指标!R87,C:\Users\xudam\SynologyDrive\工作\博士\论文\代码\区块链漏洞检测\results\remote_mirror\A_8.130.211.198\experiments\runs\machine_a_qwen25coder3b_e1__vul_line__direct\Qwen_Qwen2.5-Coder-3B-Instruct\vul_line__direct\metrics.json,可作为闭合结果,,
machine_a_qwen25coder3b_e1__vul_line__prompt,双向闭合,应跑缺口明细!R47; 全部结果指标!R275; line指标!R89,C:\Users\xudam\SynologyDrive\工作\博士\论文\代码\区块链漏洞检测\results\remote_mirror\A_8.130.211.198\experiments\runs\machine_a_qwen25coder3b_e1__vul_line__prompt\Qwen_Qwen2.5-Coder-3B-Instruct\vul_line__prompt\metrics.json,可作为闭合结果,,
machine_a_qwen25coder3b_e1__vul_line__qlora,双向闭合,补齐前后12条明细!R5; 全部结果指标!R311; line指标!R98,C:\Users\xudam\SynologyDrive\工作\博士\论文\代码\区块链漏洞检测\results\remote_mirror\A_8.130.211.198\experiments\runs\machine_a_qwen25coder3b_e1__vul_line__qlora\Qwen_Qwen2.5-Coder-3B-Instruct\vul_line__finetune\metrics.json,可作为闭合结果,,
machine_a_qwen25coder3b_e1__vul_type__direct,双向闭合,应跑缺口明细!R42; 全部结果指标!R277; type指标!R84,C:\Users\xudam\SynologyDrive\工作\博士\论文\代码\区块链漏洞检测\results\remote_mirror\A_8.130.211.198\experiments\runs\machine_a_qwen25coder3b_e1__vul_type__direct\Qwen_Qwen2.5-Coder-3B-Instruct\vul_type__direct\metrics.json,可作为闭合结果,,
machine_a_qwen25coder3b_e1__vul_type__prompt,双向闭合,应跑缺口明细!R43; 全部结果指标!R279; type指标!R86,C:\Users\xudam\SynologyDrive\工作\博士\论文\代码\区块链漏洞检测\results\remote_mirror\A_8.130.211.198\experiments\runs\machine_a_qwen25coder3b_e1__vul_type__prompt\Qwen_Qwen2.5-Coder-3B-Instruct\vul_type__prompt\metrics.json,可作为闭合结果,,
machine_a_qwen25coder3b_e1__vul_type__qlora,双向闭合,补齐前后12条明细!R3; 全部结果指标!R310; type指标!R96,C:\Users\xudam\SynologyDrive\工作\博士\论文\代码\区块链漏洞检测\results\remote_mirror\A_8.130.211.198\experiments\runs\machine_a_qwen25coder3b_e1__vul_type__qlora\Qwen_Qwen2.5-Coder-3B-Instruct\vul_type__finetune\metrics.json,可作为闭合结果,,
machine_a_wizardcoder_python_7b_e1__has_vul__direct,Excel有-本地镜像缺失,应跑缺口明细!R215; 全部结果指标!R297; has指标!R93,,历史记录/镜像缺失；若正文引用，需重新定位或补拉结果,表内历史/计划记录，本地未找到同名metrics；不等于训练失败,
machine_a_wizardcoder_python_7b_e1__has_vul__prompt,Excel有-本地镜像缺失,应跑缺口明细!R216; 全部结果指标!R300; has指标!R94,,历史记录/镜像缺失；若正文引用，需重新定位或补拉结果,表内历史/计划记录，本地未找到同名metrics；不等于训练失败,
machine_a_wizardcoder_python_7b_e1__has_vul__qlora,双向闭合,应跑缺口明细!R217; 全部结果指标!R301; has指标!R95,C:\Users\xudam\SynologyDrive\工作\博士\论文\代码\区块链漏洞检测\results\remote_mirror\A_8.130.211.198\experiments\runs\machine_a_wizardcoder_python_7b_e1__has_vul__qlora\942822826576\metrics.json,可作为闭合结果,,
machine_a_wizardcoder_python_7b_e1__vul_line__direct,Excel有-本地镜像缺失,应跑缺口明细!R221; 全部结果指标!R302; line指标!R94,,历史记录/镜像缺失；若正文引用，需重新定位或补拉结果,表内历史/计划记录，本地未找到同名metrics；不等于训练失败,
machine_a_wizardcoder_python_7b_e1__vul_line__prompt,双向闭合,应跑缺口明细!R222; 全部结果指标!R303; line指标!R95,C:\Users\xudam\SynologyDrive\工作\博士\论文\代码\区块链漏洞检测\results\remote_mirror\A_8.130.211.198\experiments\runs\machine_a_wizardcoder_python_7b_e1__vul_line__prompt\639485852859\metrics.json,可作为闭合结果,,
machine_a_wizardcoder_python_7b_e1__vul_line__qlora,Excel有-本地镜像缺失,全部结果指标!R304,,历史记录/镜像缺失；若正文引用，需重新定位或补拉结果,有同模型/同任务/同方法替代run,autodl_wizardcoder_python_7b_e1_gpu1_vul_line_prompt_qlora__vul_line__qlora
machine_a_wizardcoder_python_7b_e1__vul_type__direct,双向闭合,应跑缺口明细!R218; 全部结果指标!R307; type指标!R93,C:\Users\xudam\SynologyDrive\工作\博士\论文\代码\区块链漏洞检测\results\remote_mirror\A_8.130.211.198\experiments\runs\machine_a_wizardcoder_python_7b_e1__vul_type__direct\115349078376\metrics.json,可作为闭合结果,,
machine_a_wizardcoder_python_7b_e1__vul_type__prompt,双向闭合,应跑缺口明细!R219; 全部结果指标!R308; type指标!R94,C:\Users\xudam\SynologyDrive\工作\博士\论文\代码\区块链漏洞检测\results\remote_mirror\A_8.130.211.198\experiments\runs\machine_a_wizardcoder_python_7b_e1__vul_type__prompt\92678364287\metrics.json,可作为闭合结果,,
machine_a_wizardcoder_python_7b_e1__vul_type__qlora,双向闭合,应跑缺口明细!R220; 全部结果指标!R309; type指标!R95,C:\Users\xudam\SynologyDrive\工作\博士\论文\代码\区块链漏洞检测\results\remote_mirror\A_8.130.211.198\experiments\runs\machine_a_wizardcoder_python_7b_e1__vul_type__qlora\202340434034\metrics.json,可作为闭合结果,,
machine_b_codebert_base_full_e1__has_vul__full,双向闭合,应跑缺口明细!R2; 全部结果指标!R149; has指标!R50,C:\Users\xudam\SynologyDrive\工作\博士\论文\代码\区块链漏洞检测\results\remote_mirror\B_39.105.139.36\experiments\runs\machine_b_codebert_base_full_e1__has_vul__full\microsoft_codebert-base\has_vul__finetune\metrics.json,可作为闭合结果,,
machine_b_codebert_base_full_e1__vul_line__full,双向闭合,补齐前后12条明细!R9; 应跑缺口明细!R4; 全部结果指标!R150; line指标!R43,C:\Users\xudam\SynologyDrive\工作\博士\论文\代码\区块链漏洞检测\results\remote_mirror\B_39.105.139.36\experiments\runs\machine_b_codebert_base_full_e1__vul_line__full\microsoft_codebert-base\vul_line__finetune\metrics.json,可作为闭合结果,,
machine_b_codebert_base_full_e1__vul_type__full,双向闭合,补齐前后12条明细!R7; 应跑缺口明细!R3; 全部结果指标!R151; type指标!R48,C:\Users\xudam\SynologyDrive\工作\博士\论文\代码\区块链漏洞检测\results\remote_mirror\B_39.105.139.36\experiments\runs\machine_b_codebert_base_full_e1__vul_type__full\microsoft_codebert-base\vul_type__finetune\metrics.json,可作为闭合结果,,
machine_b_codet5_base_full_e1__has_vul__full,双向闭合,应跑缺口明细!R11; 全部结果指标!R290; has指标!R91,C:\Users\xudam\SynologyDrive\工作\博士\论文\代码\区块链漏洞检测\results\remote_mirror\B_39.105.139.36\experiments\runs\machine_b_codet5_base_full_e1__has_vul__full\Salesforce_codet5-base\has_vul__finetune\metrics.json,可作为闭合结果,,
machine_b_codet5_base_full_e1__vul_line__full,Excel有-本地镜像缺失,应跑缺口明细!R13; 全部结果指标!R292; 全部结果指标!R293,,历史记录/镜像缺失；若正文引用，需重新定位或补拉结果,旧B机CodeT5记录，本地镜像未闭合；此前已明确不恢复CodeT5,
machine_b_codet5_base_full_e1__vul_type__full,双向闭合,应跑缺口明细!R12; 全部结果指标!R295; type指标!R91,C:\Users\xudam\SynologyDrive\工作\博士\论文\代码\区块链漏洞检测\results\remote_mirror\B_39.105.139.36\experiments\runs\machine_b_codet5_base_full_e1__vul_type__full\Salesforce_codet5-base\vul_type__finetune\metrics.json,可作为闭合结果,,
machine_b_codet5_base_qlora_e1__has_vul__qlora,双向闭合,全部结果指标!R291; has指标!R92,C:\Users\xudam\SynologyDrive\工作\博士\论文\代码\区块链漏洞检测\results\remote_mirror\B_39.105.139.36\experiments\runs\machine_b_codet5_base_qlora_e1__has_vul__qlora\Salesforce_codet5-base\has_vul__finetune\metrics.json,可作为闭合结果,,
machine_b_codet5_base_qlora_e1__vul_line__qlora,Excel有-本地镜像缺失,全部结果指标!R294,,历史记录/镜像缺失；若正文引用，需重新定位或补拉结果,旧B机CodeT5记录，本地镜像未闭合；此前已明确不恢复CodeT5,
machine_b_codet5_base_qlora_e1__vul_type__qlora,双向闭合,全部结果指标!R296; type指标!R92,C:\Users\xudam\SynologyDrive\工作\博士\论文\代码\区块链漏洞检测\results\remote_mirror\B_39.105.139.36\experiments\runs\machine_b_codet5_base_qlora_e1__vul_type__qlora\Salesforce_codet5-base\vul_type__finetune\metrics.json,可作为闭合结果,,
machine_b_graphcodebert_base_full_e1__has_vul__full,双向闭合,应跑缺口明细!R5; 全部结果指标!R152; has指标!R51,C:\Users\xudam\SynologyDrive\工作\博士\论文\代码\区块链漏洞检测\results\remote_mirror\B_39.105.139.36\experiments\runs\machine_b_graphcodebert_base_full_e1__has_vul__full\microsoft_graphcodebert-base\has_vul__finetune\metrics.json,可作为闭合结果,,
machine_b_graphcodebert_base_full_e1__vul_line__full,双向闭合,补齐前后12条明细!R13; 应跑缺口明细!R7; 全部结果指标!R153; line指标!R44,C:\Users\xudam\SynologyDrive\工作\博士\论文\代码\区块链漏洞检测\results\remote_mirror\B_39.105.139.36\experiments\runs\machine_b_graphcodebert_base_full_e1__vul_line__full\microsoft_graphcodebert-base\vul_line__finetune\metrics.json,可作为闭合结果,,
machine_b_graphcodebert_base_full_e1__vul_type__full,双向闭合,补齐前后12条明细!R11; 应跑缺口明细!R6; 全部结果指标!R154; type指标!R49,C:\Users\xudam\SynologyDrive\工作\博士\论文\代码\区块链漏洞检测\results\remote_mirror\B_39.105.139.36\experiments\runs\machine_b_graphcodebert_base_full_e1__vul_type__full\microsoft_graphcodebert-base\vul_type__finetune\metrics.json,可作为闭合结果,,
machine_b_unixcoder_base_full_e1__has_vul__full,双向闭合,应跑缺口明细!R8; 全部结果指标!R155; has指标!R52,C:\Users\xudam\SynologyDrive\工作\博士\论文\代码\区块链漏洞检测\results\remote_mirror\B_39.105.139.36\experiments\runs\machine_b_unixcoder_base_full_e1__has_vul__full\microsoft_unixcoder-base\has_vul__finetune\metrics.json,可作为闭合结果,,
machine_b_unixcoder_base_full_e1__vul_line__full,双向闭合,应跑缺口明细!R10; 全部结果指标!R156; line指标!R45,C:\Users\xudam\SynologyDrive\工作\博士\论文\代码\区块链漏洞检测\results\remote_mirror\B_39.105.139.36\experiments\runs\machine_b_unixcoder_base_full_e1__vul_line__full\microsoft_unixcoder-base\vul_line__finetune\metrics.json,可作为闭合结果,,
machine_b_unixcoder_base_full_e1__vul_type__full,双向闭合,应跑缺口明细!R9; 全部结果指标!R157; type指标!R50,C:\Users\xudam\SynologyDrive\工作\博士\论文\代码\区块链漏洞检测\results\remote_mirror\B_39.105.139.36\experiments\runs\machine_b_unixcoder_base_full_e1__vul_type__full\microsoft_unixcoder-base\vul_type__finetune\metrics.json,可作为闭合结果,,
machine_c_qwen25coder3b_full_e1__has_vul__full,双向闭合,应跑缺口明细!R40; 全部结果指标!R270; has指标!R85,C:\Users\xudam\SynologyDrive\工作\博士\论文\代码\区块链漏洞检测\results\remote_mirror\C_autodl_rtxpro6000x8\experiments\runs\machine_c_qwen25coder3b_full_e1__has_vul__full\Qwen_Qwen2.5-Coder-3B-Instruct\has_vul__finetune\metrics.json,可作为闭合结果,,
machine_c_qwen25coder3b_full_e1__vul_line__full,双向闭合,应跑缺口明细!R48; 全部结果指标!R274; line指标!R88,C:\Users\xudam\SynologyDrive\工作\博士\论文\代码\区块链漏洞检测\results\remote_mirror\C_autodl_rtxpro6000x8\experiments\runs\machine_c_qwen25coder3b_full_e1__vul_line__full\Qwen_Qwen2.5-Coder-3B-Instruct\vul_line__finetune\metrics.json,可作为闭合结果,,
machine_c_qwen25coder3b_full_e1__vul_type__full,双向闭合,应跑缺口明细!R44; 全部结果指标!R278; type指标!R85,C:\Users\xudam\SynologyDrive\工作\博士\论文\代码\区块链漏洞检测\results\remote_mirror\C_autodl_rtxpro6000x8\experiments\runs\machine_c_qwen25coder3b_full_e1__vul_type__full\Qwen_Qwen2.5-Coder-3B-Instruct\vul_type__finetune\metrics.json,可作为闭合结果,,
matrix_balanced721_qwen05_e1__has_vul__direct,双向闭合,应跑缺口明细!R14; 全部结果指标!R158; has指标!R53,C:\Users\xudam\SynologyDrive\工作\博士\论文\代码\区块链漏洞检测\results\remote_mirror\A_8.130.211.198\experiments\runs\matrix_balanced721_qwen05_e1__has_vul__direct\Qwen_Qwen2.5-Coder-0.5B-Instruct\has_vul__direct\metrics.json,可作为闭合结果,,
